Tair,QHouDem,PPV,PELDem,QTWW,Tp,Tmin,f, C_grid
-4.748933884842602,4979.792969933647,0.0,0.12502830553932104,0.0,0.0,0.0,0.0,0.35
-4.57211187849208,4946.958629198994,0.0,0.1339528827636905,0.0,0.0,0.0,0.0,0.35
-4.395289872141557,4914.12428846434,0.0,0.14287745998805995,0.0,0.0,0.0,0.0,0.35
-4.218467865791035,4881.289947729687,0.0,0.15180203721242944,0.0,0.0,0.0,0.0,0.35
-4.0416458594405125,4848.455606995033,0.0,0.1607266144367989,0.0,0.0,0.0,0.0,0.35
-3.991125286197506,4822.998880263326,0.0,0.14407523642313283,0.0,0.0,0.0,0.0,0.35
-3.9406047129544994,4797.54215353162,0.0,0.12742385840946677,0.0,0.0,0.0,0.0,0.35
-3.8900841397114934,4772.085426799913,0.0,0.1107724803958007,0.0,0.0,0.0,0.0,0.35
-3.839563566468487,4746.628700068206,0.0,0.09412110238213464,0.0,0.0,0.0,0.0,0.35
-3.7132621333609706,4727.4918628781825,0.0,0.08769527686722223,0.0,0.0,0.0,0.0,0.35
-3.5869607002534547,4708.355025688159,0.0,0.0812694513523098,0.0,0.0,0.0,0.0,0.35
-3.460659267145939,4689.218188498135,0.0,0.07484362583739737,0.0,0.0,0.0,0.0,0.35
-3.3343578340384226,4670.081351308111,0.0,0.06841780032248496,0.0,0.0,0.0,0.0,0.35
-3.3090975474169193,4656.443313791231,0.0,0.06770306017852279,0.0,0.0,0.0,0.0,0.35
-3.2838372607954165,4642.805276274351,0.0,0.06698832003456062,0.0,0.0,0.0,0.0,0.35
-3.2585769741739132,4629.167238757471,0.0,0.06627357989059846,0.0,0.0,0.0,0.0,0.35
-3.23331668755241,4615.529201240591,0.0,0.06555883974663629,0.0,0.0,0.0,0.0,0.35
-3.132275541066397,4604.31948489967,0.0,0.06541943915964883,0.0,0.0,0.0,0.0,0.35
-3.0312343945803844,4593.109768558749,0.0,0.06528003857266138,0.0,0.0,0.0,0.0,0.35
-2.9301932480943718,4581.9000522178285,0.0,0.06514063798567393,0.0,0.0,0.0,0.0,0.35
-2.8291521016083587,4570.690335876908,0.0,0.06500123739868648,0.0,0.0,0.0,0.0,0.35
-2.8038918149868555,4561.264610405364,0.0,0.29926614773524374,0.0,0.0,0.0,0.0,0.35
-2.778631528365352,4551.83888493382,0.0,0.533531058071801,0.0,0.0,0.0,0.0,0.35
-2.7533712417438494,4542.413159462276,0.0,0.7677959684083582,0.0,0.0,0.0,0.0,0.35
-2.728110955122346,4532.987433990732,0.0,1.0020608787449155,0.0,0.0,0.0,0.0,0.35
-2.627069808636333,4522.409361335174,0.0,1.0178235222293162,0.105,25.0,25.0,0.2,0.35
-2.5260286621503205,4511.831288679617,0.0,1.033586165713717,0.105,25.0,25.0,0.2,0.35
-2.4249875156643075,4501.253216024059,0.0,1.0493488091981178,0.0,0.0,0.0,0.0,0.35
-2.3239463691782944,4490.675143368501,0.0,1.0651114526825185,0.0,0.0,0.0,0.0,0.35
-2.273425795935288,4476.580033687529,0.0,1.0622444055212232,0.0,0.0,0.0,0.0,0.35
-2.222905222692282,4462.484924006558,0.0,1.059377358359928,0.0,0.0,0.0,0.0,0.35
-2.172384649449276,4448.389814325586,0.0,1.0565103111986327,0.0,0.0,0.0,0.0,0.35
-2.1218640762062693,4434.294704644613,0.0,1.0536432640373374,0.0,0.0,0.0,0.0,0.35
-2.0208229297202562,4461.807982233265,56.88752764573407,1.1648535162312033,0.0,0.0,0.0,0.0,0.35
-1.9197817832342436,4489.321259821916,113.77505529146814,1.276063768425069,0.105,25.0,25.0,0.2,0.35
-1.8187406367482306,4516.834537410567,170.66258293720222,1.3872740206189347,0.0,0.0,0.0,0.0,0.35
-1.7176994902622178,4544.347814999218,227.55011058293627,1.4984842728128005,0.0,0.0,0.0,0.0,0.35
-1.6924392036407145,4685.16488340186,265.471400811027,1.4583177784243013,0.105,25.0,25.0,0.2,0.35
-1.6671789170192115,4825.9819518045015,303.3926910391177,1.4181512840358024,0.0,0.0,0.0,0.0,0.35
-1.6419186303977082,4966.799020207143,341.3139812672085,1.3779847896473032,0.0,0.0,0.0,0.0,0.35
-1.616658343776205,5107.616088609785,379.23527149529923,1.337818295258804,0.0,0.0,0.0,0.0,0.35
-1.5408774839116954,5087.278338263889,395.10291485892566,1.064598757150696,0.0,0.0,0.0,0.0,0.35
-1.4650966240471859,5066.940587917992,410.9705582225521,0.7913792190425882,1.4,40.0,40.0,2.67,0.35
-1.389315764182676,5046.602837572096,426.83820158617846,0.5181596809344804,0.105,10.0,25.0,0.2,0.35
-1.3135349043181666,5026.2650872262,442.7058449498049,0.24494014282637247,0.0,0.0,0.0,0.0,0.35
-1.1367128979676442,4971.873291433939,412.3923098304677,0.4178757163626259,0.0,0.0,0.0,0.0,0.35
-0.9598908916171217,4917.481495641678,382.07877471113045,0.5908112898988793,0.0,0.0,0.0,0.0,0.35
-0.7830688852665992,4863.089699849416,351.76523959179326,0.7637468634351328,0.0,0.0,0.0,0.0,0.35
-0.6062468789160769,4808.697904057155,321.4517044724561,0.9366824369713862,0.0,0.0,0.0,0.0,0.35
-0.6062468789160769,4760.70706320843,284.60468884164453,0.9505316060797065,0.105,25.0,25.0,0.2,0.35
-0.6062468789160769,4712.716222359704,247.757673210833,0.9643807751880269,0.0,0.0,0.0,0.0,0.35
-0.6062468789160769,4664.725381510978,210.91065758002145,0.9782299442963472,0.105,40.0,40.0,0.13,0.35
