Zapfprofil_Hourly[kWh]
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.21
1.715
3.705
0.105
0.105
0.105
0.0
0.0
0.105
3.815
0.735
0.0
0.21
0.315
0.315
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.21
1.715
3.705
0.105
0.105
0.105
0.0
0.0
0.105
3.815
0.735
0.0
0.21
0.315
0.315
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.21
1.715
3.705
0.105
0.105
0.105
0.0
0.0
0.105
3.815
0.735
0.0
0.21
0.315
0.315
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.21
1.715
3.705
0.105
0.105
0.105
0.0
0.0
0.105
3.815
0.735
0.0
0.21
0.315
0.315
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.21
1.715
3.705
0.105
0.105
0.105
0.0
0.0
0.105
3.815
0.735
0.0
0.21
0.315
0.315
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.21
1.715
3.705
0.105
0.105
0.105
0.0
0.0
0.105
3.815
0.735
0.0
0.21
0.315
0.315
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.21
1.715
3.705
0.105
0.105
0.105
0.0
0.0
0.105
3.815
0.735
0.0
0.21
0.315
0.315
0.0
0.0
0.0
0.0
0.0
0.0
0.21
3.815
1.715
0.0
0.21
0.315
0.105
0.315
0.105
0.105
0.735
0.0
0.105
0.0
0.0
3.705
0.0
0.105
0.0
0.0
0.0
0.0
0.0
0.0
0.21
3.815
1.715
0.0
0.21
0.315
0.105
0.315
0.105
0.105
0.735
0.0
0.105
0.0
0.0
3.705
0.0
0.105
0.0
0.0
0.0
0.0
0.0
0.0
0.21
3.815
1.715
0.0
0.21
0.315
0.105
0.315
0.105
0.105
0.735
0.0
0.105
0.0
0.0
3.705
0.0
0.105
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.105
0.21
0.0
3.815
0.105
0.735
3.705
0.0
0.315
0.0
0.315
1.715
0.105
0.105
0.0
0.21
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.105
0.21
0.0
3.815
0.105
0.735
3.705
0.0
0.315
0.0
0.315
1.715
0.105
0.105
0.0
0.21
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.21
1.715
3.705
0.105
0.105
0.105
0.0
0.0
0.105
3.815
0.735
0.0
0.21
0.315
0.315
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.105
0.105
0.21
0.0
3.815
0.105
0.735
3.705
0.0
0.315
0.0
0.315
1.715
0.105
0.105
0.0
