144000	12	1	1	2	16	8	249	3.8	4.1	1021	4.4	87	71	0	0	1	316	-325	1
147600	12	1	1	2	17	7	226	3.4	4.1	1020	4.4	87	68	0	0	1	311	-325	1
151200	12	1	1	2	18	8	230	4.4	4.4	1020	4.5	87	23	0	0	1	311	-325	1
154800	12	1	1	2	19	8	216	5.5	4.3	1019	4.4	85	2	0	0	1	316	-325	1
158400	12	1	1	2	20	8	236	5.4	4	1019	4.3	85	-1	0	0	1	315	-325	1
162000	12	1	1	2	21	8	230	4.5	4	1019	4.4	87	25	0	0	1	316	-325	1
165600	12	1	1	2	22	8	234	4.3	4.2	1019	4.4	87	1	0	0	1	316	-325	1
169200	12	1	1	2	23	8	234	4.3	4.4	1019	4.4	86	-1	0	0	1	317	-325	1
172800	12	1	1	2	24	8	222	3.4	4.2	1019	4.5	87	22	0	0	1	317	-325	1
176400	12	1	1	3	1	8	237	4	4.2	1019	4.5	88	2	0	0	1	317	-325	1
180000	12	1	1	3	2	8	236	3.8	4.3	1019	4.6	89	-1	0	0	1	317	-325	1
183600	12	1	1	3	3	8	231	4.4	4.4	1018	4.6	90	-1	0	0	1	318	-325	1
187200	12	1	1	3	4	8	235	5.1	4.6	1018	4.7	90	-1	0	0	1	317	-325	1
190800	12	1	1	3	5	8	235	4.8	4.8	1018	4.7	89	-1	0	0	1	318	-326	1
194400	12	1	1	3	6	8	229	4.6	5	1017	4.8	89	-1	0	0	1	318	-326	1
198000	12	1	1	3	7	8	228	4.8	4.9	1017	4.7	88	78	0	0	1	316	-326	1
201600	12	1	1	3	8	8	223	4.8	4.6	1017	4.6	87	22	0	0	1	314	-325	1
205200	12	1	1	3	9	8	228	4.3	5	1017	4.6	87	78	0	24	1	313	-323	1
208800	12	1	1	3	10	7	224	5.2	5.1	1016	4.6	86	22	0	53	1	306	-322	1
212400	12	1	1	3	11	7	215	5.3	5.5	1016	4.6	84	-1	0	56	1	300	-323	1
216000	12	1	1	3	12	7	229	5.3	6	1015	4.6	81	-1	0	29	1	299	-325	1
219600	12	1	1	3	13	7	215	5.2	6.4	1015	4.7	80	70	0	42	1	299	-326	1
223200	12	1	1	3	14	7	217	5.2	6.6	1014	4.7	79	15	0	40	1	299	-325	1
226800	12	1	1	3	15	8	228	5.4	6.5	1014	4.7	78	87	0	10	1	303	-322	1
230400	12	1	1	3	16	7	220	5.9	6.4	1014	4.7	78	78	0	0	1	302	-319	1
234000	12	1	1	3	17	8	225	5.9	6.4	1013	4.7	79	22	0	0	1	303	-316	1
237600	12	1	1	3	18	8	228	5.5	6.6	1013	4.8	79	-1	0	0	1	309	-316	1
241200	12	1	1	3	19	8	228	4.9	6.7	1013	4.9	80	2	0	0	1	310	-316	1
244800	12	1	1	3	20	8	226	5.3	6.2	1012	5.1	84	-1	0	0	1	312	-316	1
248400	12	1	1	3	21	8	227	5.5	6.2	1012	5.1	86	-1	0	0	1	313	-315	1
252000	12	1	1	3	22	8	228	6.2	6.1	1012	4.9	84	-1	0	0	1	313	-315	1
255600	12	1	1	3	23	8	227	6.1	6.1	1012	4.9	83	-1	0	0	1	315	-316	1
259200	12	1	1	3	24	8	237	5.6	5.9	1011	4.9	85	-1	0	0	1	316	-317	1
262800	12	1	1	4	1	8	216	6	5.6	1011	5	88	-1	0	0	1	317	-318	1
266400	12	1	1	4	2	8	229	6.6	5.6	1011	5.1	89	-1	0	0	1	318	-320	1
270000	12	1	1	4	3	8	239	6.3	5.5	1010	5.1	89	-1	0	0	1	319	-322	1
273600	12	1	1	4	4	8	225	6	5.8	1010	5	88	-1	0	0	1	320	-323	1
277200	12	1	1	4	5	8	231	6.3	6	1010	4.9	85	-1	0	0	1	320	-324	1
280800	12	1	1	4	6	8	249	6.2	5.7	1009	4.9	85	-1	0	0	1	322	-324	1
284400	12	1	1	4	7	8	249	5.7	5.6	1010	5	87	-1	0	0	1	324	-324	1
288000	12	1	1	4	8	8	244	4.7	5.8	1010	5	88	-1	0	6	1	327	-324	1
291600	12	1	1	4	9	7	260	3.6	5.7	1011	5.1	89	-1	0	19	1	322	-324	1
295200	12	1	1	4	10	7	245	4.3	5.7	1011	5.2	92	-1	0	29	1	316	-326	1
298800	12	1	1	4	11	8	236	4	5.7	1011	5.3	92	-1	0	29	1	324	-327	1
302400	12	1	1	4	12	8	230	3.3	5.9	1011	5.2	91	-1	0	44	1	332	-329	1
306000	12	1	1	4	13	8	233	3.4	5.9	1011	5.2	89	-1	0	39	1	334	-330	1
309600	12	1	1	4	14	7	219	3.2	5.8	1010	5.2	89	-1	0	39	1	328	-330	1
313200	12	1	1	4	15	8	218	3.1	5.5	1010	5.2	91	-1	0	11	1	327	-329	1
316800	12	1	1	4	16	8	200	3.3	5.3	1010	5.2	93	-1	0	0	1	334	-329	1
320400	12	1	1	4	17	8	179	3.6	5.4	1009	5.3	95	-1	0	0	1	334	-328	1
324000	12	1	1	4	18	8	196	4.8	5.1	1008	5.2	95	-1	0	0	1	333	-328	1
327600	12	1	1	4	19	8	188	4.1	4.8	1007	5.2	95	-1	0	0	1	332	-328	1
331200	12	1	1	4	20	8	190	4.4	4.6	1007	5.2	98	-1	0	0	1	332	-328	1
334800	12	1	1	4	21	8	209	5	4.9	1006	5.3	99	-1	0	0	1	331	-327	1
338400	12	1	1	4	22	8	212	5.2	5	1005	5.3	97	-1	0	0	1	330	-327	1
342000	12	1	1	4	23	8	214	5	5.2	1005	5.3	96	-1	0	0	1	328	-328	1
345600	12	1	1	4	24	8	238	6.6	5.5	1004	5.5	98	-1	0	0	1	328	-328	1
349200	12	1	1	5	1	7	241	6.9	6.3	1004	5.6	96	-1	0	0	1	322	-328	1
352800	12	1	1	5	2	5	250	7.1	6.5	1005	5.4	89	-1	0	0	1	299	-329	1
356400	12	1	1	5	3	7	271	8.3	6.6	1005	5.2	86	-1	0	0	1	298	-330	1
360000	12	1	1	5	4	7	257	9.2	6.3	1005	5	82	-1	0	0	1	314	-331	1
363600	12	1	1	5	5	4	272	9.4	5.5	1005	4.7	81	-1	0	0	1	288	-332	1
367200	12	1	1	5	6	3	279	8.3	4.7	1006	4.3	79	-1	0	0	1	257	-332	1
370800	12	1	1	5	7	4	281	8.2	4.4	1007	4	76	-1	0	0	1	258	-332	1
374400	12	1	1	5	8	3	273	8.1	4.2	1009	4	78	-1	3	8	1	262	-333	1
378000	12	1	1	5	9	4	280	7.5	3.8	1010	4.1	80	-1	42	42	1	262	-333	1
381600	12	1	1	5	10	3	271	7.5	4.2	1011	4	80	-1	105	64	1	262	-334	1
385200	12	1	1	5	11	2	276	8	5	1012	4.1	77	-1	135	88	1	251	-335	1
388800	12	1	1	5	12	3	280	7.5	5.2	1013	4.1	76	-1	95	107	1	249	-336	1
392400	12	1	1	5	13	3	267	7.1	5.5	1013	4.1	74	-1	71	99	1	254	-337	1
396000	12	1	1	5	14	2	278	5.5	5.5	1014	4.1	73	-1	45	72	1	248	-336	1
399600	12	1	1	5	15	4	278	4.6	4.9	1014	4	73	-1	6	27	1	251	-333	1
