T_Air,Q_Hou_Dem,P_PV,P_EL_Dem,QTWW,TpTWW,fTWW,Win_Speed,HGloHor
279.54999999999995,3204.4352,0.0,0.478358401,0.0,10.0,0.0,5.4,0
279.54999999999995,3175.2484,0.0,0.50241693,0.0,10.0,0.0,5.9,0
279.75,2533.21888,0.0,0.577436218,0.105,25.0,3.0,5.9,0
279.84999999999997,2429.3355199999996,0.0,0.545416077,3.815,40.0,16.0,5.5,0
279.34999999999997,3339.8994800000005,0.0,1.386748406,0.21,25.0,6.0,4.9,0
279.34999999999997,3630.3716400000008,0.0,0.364380311,0.21,25.0,6.0,5.3,0
279.25,3677.5569800000003,0.0,0.177057324,0.0,10.0,0.0,5.5,0
279.25,3624.0986599999997,0.0,0.143364637,0.0,10.0,0.0,6.2,0
279.04999999999995,3553.1604,0.0,0.116181827,0.0,10.0,0.0,6.1,0
278.75,3489.829335,0.0,0.061468716,0.0,10.0,0.0,5.6,0
278.75,3435.86933,0.0,0.06308652,0.0,10.0,0.0,6.0,0
278.65,3386.15377,0.0,0.121550663,0.0,10.0,0.0,6.6,0
278.95,3331.6734939999997,0.0,0.073641327,0.0,10.0,0.0,6.3,0
279.15,3291.22944,0.0,0.190212651,0.0,10.0,0.0,6.0,0
278.84999999999997,3272.2731499999995,0.0,0.541401115,0.105,25.0,3.0,6.3,0
278.75,3249.1701099999996,0.0,1.005074738,0.105,40.0,9.0,6.2,0
278.95,2670.17972,0.0,1.028455342,0.0,10.0,0.0,5.7,6
278.84999999999997,2557.9408399999998,100.62984672864847,0.981649238,0.315,40.0,9.0,4.7,19
278.84999999999997,3393.63376,169.50387750555197,1.267949481,1.715,40.0,15.0,3.6,29
278.84999999999997,3609.726376,170.28676838453984,0.977360786,3.705,40.0,10.0,4.3,29
279.04999999999995,3582.8688,268.58727883647776,1.381574017,0.105,25.0,3.0,4.0,44
279.04999999999995,3476.5643000000005,236.336314741196,0.46652772,0.105,25.0,3.0,3.3,39
278.95,3378.31099,237.88075365971085,3.190647212,0.315,55.0,4.0,3.4,39
278.65,3333.5940359999995,54.91445311088538,2.031658172,0.735,55.0,4.0,3.2,11
278.45,3316.41354,0.0,1.920315597,0.0,10.0,0.0,3.1,0
278.54999999999995,3306.5271399999997,0.0,0.783984562,0.0,10.0,0.0,3.3,0
278.25,2841.27902,0.0,0.469375422,0.105,25.0,3.0,3.6,0
277.95,2794.7029000000007,0.0,0.676512504,3.815,40.0,16.0,4.8,0
277.75,3670.3590200000003,0.0,1.372415153,0.21,25.0,6.0,4.1,0
278.04999999999995,3899.8452700000007,0.0,0.248259647,0.21,25.0,6.0,4.4,0
278.15,3890.0701,0.0,0.102340284,0.0,10.0,0.0,5.0,0
278.34999999999997,3781.7942500000004,0.0,0.101026643,0.0,10.0,0.0,5.2,0
278.65,3636.290365,0.0,0.130917001,0.0,10.0,0.0,5.0,0
279.45,3489.86452,0.0,0.125171486,0.0,10.0,0.0,6.6,0
279.65,3377.05502,0.0,0.06258817,0.0,10.0,0.0,6.9,0
279.75,3305.1481499999995,0.0,0.061574052,0.0,10.0,0.0,7.1,0
279.45,3285.7501250000005,0.0,0.060554368,0.0,10.0,0.0,8.3,0
278.65,3315.292344,0.0,0.145264279,0.0,10.0,0.0,9.2,0
277.84999999999997,3361.3049650000003,0.0,1.523071627,0.0,10.0,0.0,9.4,0
277.54999999999995,3392.0646699999998,0.0,1.58522447,3.815,40.0,16.0,8.3,0
277.34999999999997,2990.608055,0.0,1.253735708,3.705,40.0,10.0,8.2,11
276.95,2900.1715,72.21583035225012,2.561101261,0.0,10.0,0.0,8.1,84
277.34999999999997,3401.509654,362.5410624999625,1.803078866,0.0,10.0,0.0,7.5,169
278.15,2924.4211960000002,933.4338179918244,1.94721315,0.21,25.0,6.0,7.5,223
278.34999999999997,2472.808606,1179.3822521426862,0.188462325,0.0,10.0,0.0,8.0,202
278.65,2218.64341,1102.7778591839196,0.112677342,0.735,55.0,4.0,7.5,170
278.65,2204.52278,788.1893495870819,0.187917247,0.105,25.0,3.0,7.1,117
278.04999999999995,2443.21974,197.4265527892347,0.190783056,0.105,40.0,9.0,5.5,33
276.65,2757.61735,0.0,0.402390046,0.105,25.0,3.0,4.6,0
276.25,3029.4429900000005,0.0,0.599459893,0.315,55.0,4.0,4.0,0
274.84999999999997,3140.445077,0.0,0.634500765,0.315,40.0,9.0,3.0,0
274.95,3252.94726,0.0,0.729116118,1.715,40.0,15.0,3.1,0
274.34999999999997,4103.62239,0.0,1.688788265,0.21,25.0,6.0,3.0,0
274.04999999999995,4310.72581,0.0,0.532046314,0.105,25.0,3.0,2.6,0
273.25,4327.299749999999,0.0,0.212794021,0.105,25.0,3.0,2.9,0
272.95,4270.00256,0.0,0.16633218,0.0,10.0,0.0,2.4,0
272.75,4203.21683,0.0,0.083800527,0.0,10.0,0.0,2.2,0
272.54999999999995,4159.33499,0.0,0.148543018,0.0,10.0,0.0,3.0,0
272.15,4145.43744,0.0,0.120479312,0.0,10.0,0.0,2.5,0
271.84999999999997,4138.26798,0.0,0.072014487,0.0,10.0,0.0,3.0,0
272.04999999999995,4130.04417,0.0,0.060465177,0.0,10.0,0.0,3.9,0
271.84999999999997,4127.74251,0.0,0.060577401,0.0,10.0,0.0,2.5,0
271.95,4133.6760699999995,0.0,1.436994161,0.105,25.0,3.0,2.8,0
271.54999999999995,4131.5389000000005,0.0,1.018825648,0.105,40.0,9.0,4.0,0
272.15,4023.2118099999993,0.0,2.315892593,0.0,10.0,0.0,4.0,10
272.65,3956.78147,176.0486123095435,0.266201576,0.315,40.0,9.0,3.5,32
274.45,4189.51614,429.84485783077935,0.201350929,1.715,40.0,15.0,4.4,155
275.84999999999997,3273.3505699999996,962.9228173218828,3.642735315,3.705,40.0,10.0,3.7,236
277.04999999999995,2470.93706,1337.6565188770498,2.685749255,0.105,25.0,3.0,4.1,243
277.54999999999995,2134.90463,1308.2848647576284,1.430430117,0.105,25.0,3.0,5.8,203
277.84999999999997,2012.9441876,914.3634165923856,0.218776905,0.315,55.0,4.0,5.5,133
277.65,2202.85998,231.9582197808216,0.141755624,0.735,55.0,4.0,4.8,38
276.75,2522.11821,0.0,0.466866016,0.0,10.0,0.0,4.6,0
276.45,2794.36424,0.0,0.66662897,0.0,10.0,0.0,4.5,0
276.04999999999995,2866.1521900000002,0.0,0.608960631,0.105,25.0,3.0,4.5,0
275.84999999999997,2921.77986,0.0,1.475077874,3.815,40.0,16.0,5.7,0
275.34999999999997,3800.70484,0.0,0.927775341,0.21,25.0,6.0,3.9,0
275.54999999999995,4005.6257400000004,0.0,0.540592077,0.21,25.0,6.0,4.6,0
275.95,3968.52386,0.0,0.436193815,0.0,10.0,0.0,4.8,0
276.25,3837.1578400000003,0.0,0.316262433,0.0,10.0,0.0,4.3,0
276.95,3697.1754100000003,0.0,0.060759478,0.0,10.0,0.0,3.8,0
276.84999999999997,3597.5392799999995,0.0,0.094615309,0.0,10.0,0.0,4.1,0
276.95,3525.21875,0.0,0.118828803,0.0,10.0,0.0,4.0,0
277.15,3477.73855,0.0,0.136472271,0.0,10.0,0.0,3.8,0
277.04999999999995,3439.8239299999996,0.0,0.061519114,0.0,10.0,0.0,4.1,0
277.54999999999995,3388.38836,0.0,0.060846909,0.0,10.0,0.0,4.2,0
277.95,3345.51477,0.0,0.061000059,0.105,25.0,3.0,3.9,0
277.84999999999997,3325.59371,0.0,1.365941684,0.105,40.0,9.0,3.4,0
277.65,2889.819523,0.0,1.23238147,0.0,10.0,0.0,3.3,5
277.75,2699.18789,125.56420915530796,0.192008663,0.315,40.0,9.0,3.4,23
278.45,3447.9059239999997,410.5579665685642,0.906473221,1.715,40.0,15.0,3.2,67
278.95,3492.27184,367.21852387935854,0.172251142,3.705,40.0,10.0,3.1,59
280.04999999999995,3184.849814,1024.7554119949746,2.42893278,0.105,25.0,3.0,3.4,167
280.04999999999995,2887.33484,940.1660189920864,3.318850643,0.105,25.0,3.0,3.2,146
279.95,2740.11131,683.2763016073566,0.503266405,0.315,55.0,4.0,3.5,104
279.84999999999997,2771.4524300000003,98.6893686754566,0.1721129,0.735,55.0,4.0,2.5,18
279.65,2884.56271,0.0,0.310199524,0.0,10.0,0.0,2.5,0
278.65,3005.221644,0.0,0.49201053,0.0,10.0,0.0,2.9,0
278.45,2698.8831569999998,0.0,0.370077841,0.105,25.0,3.0,3.9,0
277.75,2718.210146,0.0,1.130432352,3.815,40.0,16.0,4.2,0
277.15,3647.4804099999997,0.0,1.194481152,0.21,25.0,6.0,4.2,0
276.84999999999997,3923.6947,0.0,0.581716004,0.21,25.0,6.0,4.1,0
276.84999999999997,3962.40738,0.0,0.444185318,0.0,10.0,0.0,4.2,0
276.15,3928.92884,0.0,0.254628801,0.0,10.0,0.0,4.1,0
275.84999999999997,3886.20156,0.0,0.060768462,0.0,10.0,0.0,3.7,0
275.25,3859.4918700000003,0.0,0.060411427,0.0,10.0,0.0,4.1,0
275.04999999999995,3837.8876599999994,0.0,0.061305794,0.0,10.0,0.0,3.6,0
274.95,3826.23882,0.0,0.211455529,0.0,10.0,0.0,3.5,0
274.65,3825.46298,0.0,0.104937143,0.0,10.0,0.0,4.3,0
274.54999999999995,3834.2823800000006,0.0,0.061003889,0.0,10.0,0.0,3.7,0
274.15,3846.41517,0.0,1.068215015,0.105,25.0,3.0,4.0,0
274.25,3836.13241,0.0,1.149878419,0.105,40.0,9.0,4.2,0
274.45,3562.01941,0.0,1.364903298,0.0,10.0,0.0,4.8,14
274.84999999999997,3407.411664,76.47209576077069,0.909887109,0.315,40.0,9.0,4.0,87
275.84999999999997,3765.6770800000004,367.1545726796097,0.340140392,1.715,40.0,15.0,4.4,181
277.04999999999995,3077.1758200000004,969.3079211591852,0.154648629,3.705,40.0,10.0,4.9,236
278.34999999999997,2420.1423699999996,1349.2394949107747,0.206393255,0.105,25.0,3.0,5.4,246
278.54999999999995,2212.715432,1015.4234508782048,0.1098858,0.105,25.0,3.0,6.1,156
278.84999999999997,2316.738896,433.723689124958,0.174569831,0.315,55.0,4.0,6.1,68
278.95,2523.5235000000002,61.358246559232704,0.28310406,0.735,55.0,4.0,4.6,12
278.95,2712.573014,0.0,0.219649966,0.0,10.0,0.0,4.3,0
278.75,2845.2410250000003,0.0,0.193047292,0.0,10.0,0.0,3.7,0
278.75,2535.013592,0.0,0.618253859,0.105,25.0,3.0,4.0,0
278.65,2431.5432950000004,0.0,1.444709719,3.815,40.0,16.0,4.1,0
278.75,3318.882505,0.0,0.83515691,0.21,25.0,6.0,3.8,0
278.65,3589.791794,0.0,0.274465343,0.21,25.0,6.0,3.4,0
278.75,3621.59855,0.0,0.361198631,0.0,10.0,0.0,3.4,0
278.54999999999995,3571.4814899999997,0.0,0.288197034,0.0,10.0,0.0,3.1,0
278.34999999999997,3500.56835,0.0,0.259745381,0.0,10.0,0.0,3.2,0
278.45,3441.0925299999994,0.0,0.13445515,0.0,10.0,0.0,3.1,0
278.04999999999995,3408.81204,0.0,0.061113857,0.0,10.0,0.0,3.1,0
277.95,3388.21635,0.0,0.060502547,0.0,10.0,0.0,2.3,0
277.84999999999997,3376.09896,0.0,0.060717314,0.0,10.0,0.0,2.3,0
277.75,3364.59221,0.0,0.075490035,0.0,10.0,0.0,1.8,0
277.84999999999997,3347.11898,0.0,0.414309292,0.105,25.0,3.0,2.4,0
277.95,3320.0676599999997,0.0,1.176884391,0.105,40.0,9.0,2.3,0
278.15,2812.6745,0.0,1.548567474,0.0,10.0,0.0,2.3,4
278.25,2642.3216,173.8555797750132,1.299423718,0.315,40.0,9.0,2.4,32
278.45,3421.211914,363.6953049186672,0.984264336,1.715,40.0,15.0,2.3,59
278.65,3556.3281540000003,466.4342638665392,1.846513934,3.705,40.0,10.0,2.8,74
278.75,3478.44564,540.414545811071,3.909717266,0.105,25.0,3.0,2.7,85
278.65,3374.3561599999994,329.3152496282584,1.151767545,0.105,25.0,3.0,2.9,53
278.54999999999995,3301.3500599999998,278.3725971586249,2.319285147,0.315,55.0,4.0,3.2,45
278.25,3289.5701200000003,105.97601090032308,0.591034742,0.735,55.0,4.0,3.0,19
277.84999999999997,3318.2909700000005,0.0,0.337271105,0.0,10.0,0.0,3.0,0
277.65,3353.8878099999997,0.0,0.264501082,0.0,10.0,0.0,3.2,0
277.25,3028.490055,0.0,0.497387287,0.105,25.0,3.0,3.5,0
276.84999999999997,3017.35241,0.0,0.665527424,3.815,40.0,16.0,3.8,0
276.75,3880.14336,0.0,0.425394565,0.21,25.0,6.0,2.9,0
277.04999999999995,4092.4795599999998,0.0,0.930435926,0.21,25.0,6.0,2.5,0
276.75,4084.33744,0.0,0.249751071,0.0,10.0,0.0,2.4,0
276.75,3995.03539,0.0,0.220298158,0.0,10.0,0.0,3.2,0
276.65,3900.9072399999995,0.0,0.162721454,0.0,10.0,0.0,3.1,0
276.45,3832.7635099999993,0.0,0.108148495,0.0,10.0,0.0,3.9,0
276.15,3817.8193100000003,0.0,0.061346332,0.0,10.0,0.0,3.1,0
274.95,3854.7148700000002,0.0,0.060594514,0.0,10.0,0.0,2.7,0
274.34999999999997,3895.869489999999,0.0,0.111604538,0.0,10.0,0.0,3.2,0
274.15,3935.15632,0.0,0.093772412,0.0,10.0,0.0,2.8,0
273.54999999999995,3971.1114599999996,0.0,0.873150322,0.105,25.0,3.0,3.5,0
273.54999999999995,3978.8553500000003,0.0,1.071898411,0.105,40.0,9.0,3.3,0
273.75,3745.98201,0.0,1.69319594,0.0,10.0,0.0,3.9,5
274.25,3663.7585599999998,205.39254526633255,1.418912723,0.315,40.0,9.0,3.4,53
274.95,4319.80537,311.57481913393946,0.482681318,1.715,40.0,15.0,2.6,50
