Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
234000,622.7408,346.97263,89.77935,199.08264,463.1236,432.97043,328.20792,399.56363,321.9942
237600,624.6788,343.81183,88.15226,198.44136,457.22784,424.23157,325.42648,394.34988,318.92838
241200,332.5771,339.28275,85.72017,465.83072,108.53483,63.84617,320.8449,758.9496,57.63264
244800,572.9603,194.11281,85.53915,0,687.9424,249.98868,122.18228,0,516.6099
248400,641.6048,335.68277,88.39696,99.84371,753.07306,374.86,284.76566,204.67822,556.9943
252000,666.7303,376.82523,91.98251,170.2661,670.19165,449.71805,364.6563,340.8996,499.1019
255600,677.1662,383.1821,95.58645,203.71109,597.91656,484.4578,387.35458,406.9143,441.2679
259200,680.88666,378.09082,98.70444,214.80049,548.1593,493.72107,383.66098,428.0098,398.0651
262800,682.8307,371.38275,101.9183,217.85745,518.2388,489.7051,372.5387,427.50415,371.18445
266400,683.6494,365.58304,104.344185,218.34975,501.4676,479.55737,361.39777,419.16278,356.31744
270000,682.8463,360.7888,105.34267,217.50844,492.04156,467.16495,352.14157,409.6323,348.40274
273600,680.02484,356.48972,104.69771,215.30501,486.0517,454.4407,344.3965,401.18323,343.56436
277200,674.169,352.03293,102.039604,210.98457,480.73212,441.73608,337.0343,393.89536,339.04953
280800,669.0174,348.57797,100.05126,208.61967,477.33533,431.161,331.82166,388.88165,335.7635
284400,666.6955,346.5087,99.85147,209.39793,476.48166,423.73605,329.1641,386.16238,334.27536
288000,663.58246,344.29156,99.26811,210.17024,472.94952,417.42697,326.2212,385.2855,329.97455
291600,393.13028,340.31006,98.28258,499.43265,111.49582,80.44351,320.59152,768.8016,57.6917
295200,618.6114,215.97084,98.337585,0,709.7744,263.1554,121.960175,0,530.13104
298800,662.23425,344.3354,99.56044,101.76155,768.75696,377.63696,277.1415,199.5934,562.6133
302400,668.4633,376.8303,101.353386,172.45612,674.206,441.60583,349.7662,331.35974,493.6855
306000,660.0439,376.8806,102.86807,203.50471,589.77167,465.9561,364.91922,393.83356,425.09097
309600,649.5993,368.27203,104.38468,212.40497,531.0508,467.4722,356.24478,413.03094,374.1046
313200,643.564,360.25232,106.18053,214.5371,496.21494,458.94168,343.43616,412.1109,343.07336
316800,647.6614,356.126,108.196106,217.31064,481.4558,449.85922,336.79785,406.04395,330.14307
320400,654.9008,353.77704,109.04486,218.93416,476.81247,441.82394,334.19244,399.60846,327.31937
324000,661.02344,351.92108,109.29335,220.81645,473.75278,434.8177,332.87796,395.91632,326.10806
327600,424.55264,350.0383,110.76716,531.8233,116.28033,119.89053,331.99088,795.4569,60.47898
331200,667.1622,251.72694,113.39785,0,751.9886,307.3382,139.89294,0,563.19617
334800,718.2263,370.90094,115.91055,114.95365,816.9842,421.432,304.5484,207.46938,599.9336
338400,730.787,398.92648,117.63461,194.29236,719.15656,482.68445,381.7664,344.96405,529.63336
342000,730.4101,397.50128,118.91387,228.75243,634.14075,506.55402,400.9089,411.5056,461.38315
345600,723.5577,387.7246,118.63362,235.65327,574.0245,507.25873,393.09872,431.89163,409.95148
349200,710.8641,376.3961,115.082565,228.84578,532.88354,494.3411,375.27258,428.2122,374.3924
352800,694.4567,365.9927,109.1629,217.59091,504.56906,475.10022,356.59277,415.59726,350.802
356400,679.81903,358.22086,104.16615,209.48499,486.6994,456.07724,342.49457,403.172,336.92078
360000,669.35944,353.13943,101.32585,206.15295,476.7728,440.4088,333.8228,394.16025,330.00583
363600,666.54456,351.26672,102.605125,209.74532,474.51288,430.5873,331.28677,389.9191,329.28235
367200,672.22723,352.27176,108.128784,219.41982,478.89142,427.09158,333.83615,389.85974,333.56586
370800,681.7424,354.11087,114.690285,229.46005,485.92764,427.14154,337.57425,391.2815,339.37643
374400,689.5242,355.02554,119.69068,236.96454,489.3185,427.50317,339.2751,393.63654,341.1264
378000,475.94427,353.38428,123.95894,570.87195,117.85239,138.06169,336.335,813.08966,61.109875
381600,691.8496,272.00034,126.86299,0,763.4349,318.89856,153.09201,0,574.0331
385200,588.7921,372.80276,125.900894,108.04771,755.86914,402.68344,291.65656,185.26765,570.4894
388800,304.8051,385.37943,123.083046,178.43628,504.85214,400.93497,340.57443,280.5922,405.7636
392400,126.26394,372.52756,120.113396,206.68457,335.49216,369.932,338.10583,331.19995,272.4892
396000,70.8044,354.6871,116.48301,211.75969,251.9333,336.52887,318.2477,357.63025,200.56909
399600,125.70583,340.23126,114.51172,214.12125,244.35442,315.9749,302.02795,370.36185,177.2336
403200,274.18842,338.78915,117.79713,225.73083,296.18027,321.3394,305.33676,379.86932,183.98846
406800,428.6473,345.07367,124.58674,241.79031,359.3152,340.97827,321.08194,388.23053,207.91339
410400,544.07465,352.32968,133.08609,258.68994,406.15976,363.90186,337.69632,396.7656,236.73909
414000,446.3395,357.92178,142.19215,656.45,119.72169,141.34041,350.01013,868.49493,57.974487
417600,721.6613,340.37595,149.186,0,846.526,335.91354,224.92662,0,634.35785
421200,773.0193,428.4772,157.48297,143.35773,903.88525,447.61758,369.44357,215.04405,665.29474
424800,782.1155,439.65677,167.46342,251.25974,779.398,513.6025,433.2604,363.18378,580.7857
428400,786.7092,432.01123,178.2845,308.261,681.2483,545.0078,449.67337,439.42825,506.6761
432000,790.0659,422.23224,186.74612,330.08835,618.283,554.25037,445.01846,467.47192,455.8462
435600,793.38367,415.00696,192.71092,336.0118,582.6689,551.4874,434.6259,470.7054,426.61588
439200,798.51855,411.07413,197.44534,338.0996,565.67487,544.1725,425.87415,465.1014,413.37445
442800,806.2119,409.75644,201.832,340.88275,560.41675,536.63245,420.7604,458.6501,410.29465
446400,811.90234,409.0739,204.34917,342.14844,560.1182,529.3174,417.07358,453.1045,411.18045
450000,814.497,408.3852,205.19092,341.97855,561.6235,522.5546,413.97086,448.96506,412.87848
453600,816.8758,407.99887,205.7234,342.19058,564.4089,517.30304,411.86084,446.54053,414.84055
457200,819.9989,408.08774,206.66159,343.5065,568.1524,513.77423,410.89807,445.59454,417.0021
460800,821.05695,407.66458,206.8667,345.08905,568.5367,510.70462,409.19263,446.82837,415.5993
464400,726.78784,403.8265,203.60783,792.0132,134.06879,325.18866,401.7098,965.8246,70.18459
468000,918.74835,415.33386,195.72066,74.569,890.6514,493.22256,295.1372,0,673.39844
471600,727.66754,466.40842,182.69608,160.32948,863.6037,532.3144,394.59235,197.19104,664.71313
475200,278.10397,446.81897,168.68987,228.43332,516.0197,477.3747,410.77164,293.1232,454.0152
478800,0,414.50385,155.70032,249.55775,251.99973,394.75473,390.3811,343.06653,270.97305
482400,0,384.0904,144.94662,247.93863,124.61667,324.21625,360.13358,374.67316,174.28932
486000,4.5507226,358.44955,136.77287,242.55627,126.637375,282.69995,332.99982,391.12906,137.14857
489600,120.96408,349.3513,133.57132,245.02623,211.01436,276.20773,326.50082,400.61597,139.60817
493200,284.76373,351.66986,134.46698,253.24031,299.43826,290.07593,336.1575,407.0165,165.28914
496800,415.88818,355.46478,136.4879,261.45825,357.64764,311.76752,347.4175,411.88025,196.35222
500400,300.14496,357.70502,139.36862,627.4095,109.50312,66.43625,354.87122,857.82556,52.88794
504000,590.0248,317.3062,143.77939,0,796.05133,266.1848,208.963,0,599.47034
507600,662.8619,413.94843,149.26183,139.41026,840.4092,387.49722,359.55087,217.2196,630.54553
511200,675.0934,427.55176,152.8001,236.42651,709.23926,466.58936,424.29324,364.90707,548.72504
514800,668.2681,417.85376,154.18198,275.92706,603.4089,504.38065,435.34653,436.68558,472.4713
518400,655.3909,403.8799,152.78032,281.58115,532.4683,513.2882,422.73334,458.55676,416.47897
522000,642.81616,392.05826,149.96962,275.25443,489.46716,506.17407,404.5734,455.88538,380.97693
525600,636.96246,384.31918,148.2734,269.58044,467.0056,493.3979,389.9525,445.6346,362.4132
529200,633.40204,378.9069,146.20648,264.4281,456.43338,478.91556,378.86267,434.5313,353.53232
532800,631.794,375.1193,144.31146,260.7894,453.5524,465.5182,371.0948,425.56677,349.99222
536400,630.2112,371.85718,141.93103,257.08017,453.37326,453.67575,364.82275,418.59195,348.28064
540000,624.0952,367.8249,137.488,250.49425,451.31708,442.0409,357.7053,412.1351,345.28763
543600,618.79474,364.29306,133.57785,245.26917,450.06393,432.1989,351.76157,407.17545,342.3801
547200,618.5681,362.16306,132.1875,245.25293,448.96582,425.50757,348.32666,405.96655,338.65552
550800,386.45026,359.0372,131.90294,566.9754,114.37319,114.99262,343.51556,815.2308,57.341553
554400,613.3621,256.7518,130.02061,0,727.88464,288.77917,140.71721,0,541.67236
558000,630.61115,367.40665,126.35533,110.572624,767.57477,387.50607,288.21872,202.47241,567.1882
561600,579.72296,385.79016,121.01578,179.71014,637.0952,431.57727,345.29453,331.6326,480.4332
