Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
234000,845.91016,425.5265,214.88774,359.80536,612.51605,568.4631,438.1926,498.86038,455.85242
237600,871.55194,430.09222,223.63211,375.05295,617.7543,572.134,448.59412,500.70737,463.6152
241200,904.5687,434.48126,232.77023,913.3117,151.15198,484.25348,457.4358,1090.8121,88.0621
244800,1134.16,558.455,239.3905,185.43448,1074.6044,666.704,455.87888,53.24389,838.40735
248400,1105.4741,578.91144,242.65387,267.46933,1153.2894,715.8834,540.6242,273.62134,884.5252
252000,1056.7721,540.3776,244.0088,343.1907,995.0737,719.0903,549.68695,435.7283,772.91846
255600,1011.6797,500.8392,243.32224,377.52643,859.4499,700.8139,530.70703,516.1984,666.3341
259200,973.009,472.25333,240.1144,384.96368,763.677,674.1884,505.92456,541.9077,586.451
262800,942.53033,454.56494,236.33173,381.1959,702.3299,647.68756,485.57776,540.34735,534.95715
266400,922.16156,445.28125,234.4683,377.9848,666.913,626.3171,473.14728,530.14166,506.7262
270000,909.5453,440.7286,233.87158,376.58698,648.02655,610.5407,466.35104,519.3448,493.48026
273600,898.97815,437.33844,232.00783,373.2464,636.7381,597.7393,460.83514,509.5615,486.68295
277200,889.9708,434.4407,229.58286,369.38727,629.69653,587.37317,456.04355,501.80255,482.71027
280800,882.19684,431.76788,227.00375,365.6265,624.99005,578.8862,451.67575,495.86816,479.66122
284400,875.1724,429.1779,224.3661,361.978,621.4151,571.68665,447.53442,491.19794,476.60825
288000,867.60535,426.3892,221.82823,359.9274,615.3561,565.0745,443.03238,489.26727,470.50003
291600,788.1214,421.1315,219.1137,819.7996,136.90999,395.3897,433.88733,1019.1766,79.3379
295200,974.93176,462.05716,216.73456,102.48288,952.4873,564.2041,352.3847,0,742.118
298800,936.3894,507.1372,215.39085,198.60135,1016.5495,618.5789,449.79126,236.38731,779.5275
302400,885.78894,488.03278,214.83426,284.18542,872.774,628.26855,471.7536,400.80002,677.27515
306000,843.59344,460.41885,215.06091,325.86383,751.5471,616.3049,461.53455,482.86816,580.9504
309600,816.0857,439.91882,216.10008,342.5326,670.7058,597.6125,445.12625,511.55267,512.22546
313200,806.8062,429.2127,217.72513,349.3853,626.6048,581.84106,435.75998,514.80133,473.76288
316800,817.1092,426.6063,221.48427,356.58026,610.1128,573.88995,436.74252,510.677,460.3858
320400,835.6991,427.45563,226.31396,363.9467,607.92737,571.4458,442.00076,505.56454,460.8013
324000,852.57184,428.87308,230.7387,371.42654,608.9987,571.3286,446.80417,503.31653,463.7702
327600,847.9728,430.81107,236.42215,872.6422,148.78256,452.79364,451.3985,1063.2963,86.054214
331200,1085.9966,539.2757,245.05557,160.6206,1064.223,638.1648,435.61194,39.820618,829.1121
334800,1078.832,571.5687,255.46371,266.66077,1150.0933,702.21014,535.90424,271.58652,882.9629
338400,1056.9005,544.79474,267.25406,364.63345,1004.4206,722.65594,561.22253,445.9713,783.5676
342000,1040.1844,515.3225,278.2704,418.0283,883.76154,721.39276,556.2363,536.0026,690.1642
345600,1031.1431,495.78528,287.90546,443.42834,804.5499,711.2633,544.03296,569.8334,623.92426
349200,1029.6292,486.06927,296.79477,456.00192,759.6878,699.9322,534.4705,575.12177,585.31445
352800,1031.4103,482.12607,303.6102,462.20758,736.67395,689.56305,528.35504,568.973,566.0942
356400,1035.5143,481.4306,309.12933,466.794,727.0887,681.56696,525.49963,560.90094,559.0303
360000,1041.4937,482.43323,314.04306,471.55548,725.33136,676.2934,525.01434,554.7075,558.62103
363600,1048.5607,484.1393,318.48853,476.44702,727.67267,673.2883,525.77167,550.9705,561.1433
367200,1055.4071,485.8523,322.1435,480.6713,731.6027,671.70465,526.7133,549.021,564.2429
370800,1061.9838,487.54263,325.41666,484.61172,736.1535,671.1727,527.7868,548.3335,567.1829
374400,1064.3654,487.92883,326.5862,487.50623,736.0705,669.68097,526.70966,549.83856,565.454
378000,1155.6224,483.82434,321.72083,1102.593,188.3921,644.8349,517.8044,1213.1716,95.230354
381600,1323.6198,653.0686,310.4758,308.31302,1156.2231,799.24835,546.02875,126.849075,891.27106
385200,1105.9932,635.1091,295.86935,329.99084,1161.0587,787.2919,580.6877,296.72098,904.7633
388800,730.7894,565.70386,282.1387,366.03592,837.4264,704.13837,548.76935,401.82568,698.0252
392400,460.9928,506.48663,271.8126,380.4094,597.878,613.5497,503.66284,460.4245,520.5097
396000,325.42285,467.14484,266.21704,385.98074,463.6163,542.2075,468.64728,493.26993,411.75876
399600,341.86365,443.84924,265.2302,393.11557,423.30682,500.8971,449.7916,509.91016,368.19934
403200,495.41608,439.41226,266.41516,402.39,466.36005,498.36154,452.5032,518.34674,371.88443
406800,651.38403,443.652,270.21393,413.77493,525.0006,514.69775,466.5177,523.39496,394.76883
410400,769.366,449.7113,276.35648,427.6478,569.72174,536.15686,481.34296,529.1841,421.74524
414000,891.77057,454.62006,282.39032,1008.09454,152.94702,500.65884,491.68402,1157.1305,86.44812
417600,1144.0835,630.06836,288.42114,258.8296,1138.0317,689.97406,531.3759,103.29107,888.3772
421200,1107.119,633.4893,296.43192,335.07526,1212.1721,747.248,604.294,314.4275,939.8193
424800,1059.5396,585.2943,305.9263,415.9536,1037.8868,760.0918,609.2642,476.7064,827.5819
428400,1028.0315,542.85547,313.6336,459.1852,896.0875,751.6022,591.7364,560.5971,722.68896
432000,1008.1139,514.8152,316.976,472.70233,800.6587,733.4487,570.096,589.9396,645.7961
435600,989.47034,497.22186,314.73633,468.20447,739.75726,710.99603,549.7608,589.3411,594.90826
439200,968.2202,485.26697,307.66968,454.9011,700.33966,687.2415,531.60266,576.0481,562.21875
442800,941.36835,475.26782,296.16888,436.27545,672.11523,662.90515,514.29425,558.90027,539.4693
446400,910.5792,465.82205,282.0173,415.63412,649.6934,638.98285,497.66553,542.2176,521.63007
450000,882.7897,457.70425,268.77686,398.21655,632.473,617.8006,483.84207,528.75934,507.75952
453600,863.1763,451.4726,258.59442,386.31,620.5568,601.0071,473.81207,519.15814,497.77002
457200,846.9854,445.97998,249.90373,376.42276,611.3418,587.2078,465.47632,511.67184,489.47833
460800,835.35284,441.5369,243.54523,371.1411,602.47046,576.5488,459.11655,508.21664,480.61646
464400,747.1108,436.46487,238.24042,824.7231,140.76942,393.14532,451.7811,1031.9008,80.106544
468000,954.8795,468.38474,234.141,111.71718,954.81555,564.62476,364.14407,17.904385,738.34705
471600,926.9332,520.10675,232.0616,214.66344,1022.7632,630.5096,474.54013,249.1813,789.5564
475200,875.1662,503.1618,229.75917,299.56598,877.5231,646.2346,500.03314,420.56946,696.31616
478800,823.14435,473.77295,226.31808,332.473,749.9579,633.62555,484.89783,502.68668,599.9619
482400,779.6603,448.72372,220.76086,334.50452,659.12384,608.5273,458.60675,526.4177,524.41034
486000,750.0604,432.07584,215.09749,327.73734,602.59015,582.49194,437.0468,522.54956,475.0632
489600,739.88495,423.36603,210.25229,322.22516,573.7883,562.7004,426.5039,510.92575,449.697
493200,740.05865,418.65845,206.36931,318.48392,560.5967,548.8229,422.4746,499.21536,439.17776
496800,743.36816,415.66647,203.87564,317.8986,553.0293,539.25903,420.84314,491.65872,433.62408
500400,585.0799,411.72836,200.90274,703.3483,132.70276,289.6344,417.28995,954.105,75.969475
504000,811.73676,370.64374,196.0611,21.50816,845.41016,467.85965,270.35623,0,649.5328
507600,821.9906,455.81723,192.25186,149.73987,913.82196,556.6939,411.8175,239.98344,704.20166
511200,806.9328,464.2954,190.71321,251.56021,801.91113,595.24915,466.34174,406.01367,635.1216
514800,786.42676,450.9448,188.55843,292.24234,703.74786,601.6582,470.8895,485.9927,561.2588
518400,768.48004,435.4702,186.93697,301.2254,635.4493,591.67456,456.81024,510.62387,503.69052
522000,751.6906,422.0436,183.61632,295.67065,590.5331,573.4753,437.6481,506.50638,463.43097
525600,729.59985,409.0068,174.78497,279.4145,557.2692,549.26074,416.01575,489.28433,433.31458
529200,705.5431,397.32507,163.7231,261.56982,532.0865,523.76556,396.40665,469.94043,410.75583
532800,683.20685,387.53445,153.1462,246.75757,513.4042,500.3924,380.68298,453.33734,394.09167
536400,665.9568,380.2729,145.38908,237.79979,500.97766,481.46286,370.01904,441.35822,382.75223
540000,665.4453,379.20703,147.70604,245.06271,500.9627,473.15054,370.2274,437.70135,381.6656
543600,681.6878,382.8765,158.06796,263.26965,511.37857,474.79602,378.16293,440.0569,388.99542
547200,698.88605,385.65475,167.04517,277.66357,519.3802,478.21777,383.81433,443.5514,393.43982
550800,519.3762,384.5752,172.4349,640.9349,127.68837,212.69734,382.2189,886.005,70.07238
554400,745.3715,325.63208,174.43982,0,812.5096,392.77737,217.14319,0,618.42206
558000,742.6791,415.85364,173.6501,130.59798,861.9172,482.6622,351.3971,218.42545,651.2559
561600,697.73413,424.53442,172.17317,220.272,729.85364,514.91895,397.0318,362.0196,559.1225
565200,671.51306,412.81564,171.64317,259.55386,628.1711,518.7682,398.7383,432.71927,475.5673
568800,662.97107,400.90732,172.89517,273.98203,566.1401,511.71304,389.02216,457.72415,419.70346
572400,667.35614,393.38397,175.07846,279.89725,534.2549,502.33612,380.89243,460.25476,389.78937
576000,681.6549,389.97137,176.31406,282.79764,522.6948,494.9844,378.3671,454.91656,378.98438
579600,695.9024,388.09225,176.16597,283.41733,520.53687,489.30185,378.29645,447.8377,377.9023
583200,706.36383,386.2923,175.1317,283.809,519.0345,484.20984,377.8004,442.9301,377.47937
586800,524.0398,383.37396,173.42828,642.27576,127.005264,213.22133,375.16794,882.2557,67.7688
590400,763.9935,328.86542,173.0087,0,826.5015,396.5248,217.9718,0,624.13855
594000,796.5274,425.23047,173.75569,141.11314,895.6817,497.63785,367.85474,224.7744,668.6996
597600,797.3154,440.82132,175.30835,241.22557,786.7065,547.0962,431.69174,377.71698,594.7958
601200,790.3247,432.8935,176.94691,283.70343,693.1645,563.06836,443.68356,452.63126,521.80023
604800,779.08453,419.93964,176.33862,292.21967,626.98364,558.6002,432.4454,475.7825,465.69092
608400,766.66376,408.35104,174.09534,287.73517,583.9725,544.17773,415.172,473.04758,428.088
612000,754.8555,399.5122,171.08351,280.69293,557.3061,526.5585,399.55423,461.22998,405.13736
615600,743.49304,392.61923,167.17087,273.52026,540.52856,508.93338,386.92416,448.21292,391.37027
619200,729.9288,386.01367,161.02869,264.28827,527.68414,491.41718,375.40118,436.032,381.16373
622800,719.926,381.4817,156.94843,259.6405,520.16833,477.47876,368.10587,427.68118,375.19537
626400,719.2037,380.45547,158.23248,263.82947,520.1332,470.16547,367.12607,424.5294,375.05618
630000,721.8589,380.2004,160.5197,268.68512,522.625,466.18173,367.46072,423.09634,376.53436
633600,723.4204,379.31204,161.88484,272.207,522.0061,462.9174,366.5082,423.22357,374.6078
637200,485.3105,373.53644,158.49544,608.3082,120.16559,153.5303,357.22754,846.1845,62.75859
640800,678.3765,254.989,148.34671,0,726.2042,323.90884,138.69029,0,541.4906
644400,676.3744,366.01566,138.76132,107.68485,773.2653,416.34198,283.948,202.17896,569.39685
648000,642.42755,388.2403,130.12955,178.35806,662.9151,455.26956,344.59668,334.3507,490.66406
651600,583.2866,378.48306,121.135826,197.19028,554.1811,453.35052,344.6365,392.54776,404.8527
655200,500.87607,361.50598,113.717026,195.4135,463.52472,428.8098,323.8391,407.49252,333.90378
658800,396.04037,344.09293,110.068146,193.75484,387.53384,390.8937,302.7272,405.13962,280.7672
662400,408.22595,338.66293,108.69121,196.25706,373.0032,372.05066,296.96707,399.39267,264.2425
666000,460.69785,338.5654,106.26765,197.23062,383.51273,368.01724,300.1287,393.4857,268.481
669600,501.33176,337.91547,102.75432,196.04027,393.94565,368.6197,303.07428,388.95544,275.55493
673200,209.39038,335.9582,101.07949,443.01984,107.90208,0,304.19583,732.7452,52.010277
676800,481.53854,174.80498,101.79036,0,656.04193,189.34395,115.46652,0,479.30124
680400,571.44727,323.8754,101.55883,104.536354,712.5471,319.44388,270.00275,201.1811,516.14825
684000,595.28,367.40457,99.84415,167.80246,627.8903,402.74887,343.44714,333.56122,459.64935
687600,602.7153,374.6223,99.515854,191.88611,555.5005,443.2917,362.59988,396.39264,403.4494
691200,606.8987,370.56042,101.586006,200.03981,507.9788,457.28525,358.93628,416.33017,363.02356
694800,613.638,365.56665,106.4077,205.87408,482.60223,457.91998,350.5472,416.50146,340.2584
698400,623.68054,362.4199,112.81841,212.95752,472.59305,453.18463,344.20306,410.41306,330.93777
702000,630.204,358.94,115.87233,214.9464,467.9552,444.24878,337.36398,401.84912,326.54938
705600,630.58844,354.45978,114.73975,211.43887,463.73907,432.20474,329.3647,392.8081,322.4387
709200,630.7944,351.02963,113.74173,209.63718,461.9573,421.3146,323.6439,386.2205,319.98083
712800,627.313,346.96683,110.49969,205.10645,459.06134,410.21997,317.20358,380.1499,316.18338
716400,617.69684,341.36823,103.83021,195.8364,452.89822,397.58115,308.46265,373.29517,309.34955
720000,611.0636,337.70032,100.07946,193.06976,446.91476,387.95453,303.2718,370.5334,302.20276
723600,294.47873,334.37204,99.45024,450.76865,109.277336,7.603396,299.3798,724.0767,52.48583
727200,524.6487,166.86983,96.730385,0,642.1794,189.34317,108.72959,0,465.6884
730800,588.9047,315.4701,98.87958,101.919586,700.3205,314.02145,254.47894,193.35895,499.87167
734400,616.4555,363.83896,107.87719,178.3582,628.54285,397.5942,329.84766,323.95343,449.52902
738000,632.4642,376.18677,118.62063,216.60976,567.54535,441.31442,353.6832,388.9559,400.32285
741600,646.6714,376.66516,130.00102,236.31146,529.42426,459.7919,355.0936,412.58453,366.19736
745200,664.78503,375.35757,139.61198,248.0822,512.1393,465.42505,352.01758,416.4326,348.95557
748800,683.6868,374.2841,145.98158,254.89545,507.36255,464.6791,349.77267,412.79684,343.4466
752400,702.0988,374.1507,150.88728,260.70782,509.73175,462.0513,349.96738,408.41318,345.17636
756000,718.4094,374.5579,155.25473,267.73755,512.7227,459.2838,351.3851,407.09814,347.54196
759600,544.1747,374.01892,158.57697,632.17786,127.88517,194.56126,351.6154,850.0186,64.59892
763200,784.41797,325.7885,161.66103,0,833.6217,381.0016,201.22607,0,620.4247
766800,823.80975,423.1634,167.9049,145.81133,906.76855,483.7562,352.78653,215.80612,659.1693
770400,838.23206,442.06155,177.44736,254.97975,804.14594,538.06213,422.55234,362.85208,584.7208
774000,841.4139,436.5897,184.35786,303.37662,715.2692,558.2419,438.90582,435.89713,513.1922
777600,838.14716,425.80817,187.75005,316.28262,652.9944,557.673,431.2154,460.30283,459.9586
781200,831.2919,415.92377,188.19704,314.5103,612.87555,546.45294,416.37585,459.9133,425.41516
784800,821.0335,407.7368,185.70573,307.1756,586.9438,530.30707,401.2815,449.855,404.1585
788400,811.53564,402.0578,183.11615,301.58807,571.50824,514.5655,390.1631,439.29517,392.74402
792000,803.315,398.09824,180.72246,297.99203,562.55096,500.99915,382.61954,431.00394,387.0662
795600,796.5679,395.27206,178.76749,295.9761,557.52075,490.12762,377.68915,425.3434,384.41187
799200,796.38293,395.08713,180.64456,300.34586,558.2858,484.52814,377.66937,423.8313,386.0804
802800,808.03577,398.93332,189.25482,314.7991,567.294,486.7033,384.51236,427.46805,394.0914
806400,824.2482,403.76556,200.11629,332.3323,576.71857,492.81082,392.56183,434.6361,401.6568
810000,700.4344,401.2307,202.01376,769.0775,134.04155,281.5334,387.50964,942.3781,69.66499
813600,878.8925,368.91245,191.3774,53.41533,842.40546,450.15695,242.74881,0,631.07635
817200,673.8611,435.40094,175.79936,141.80077,803.05237,492.35202,352.60535,184.77281,613.8647
820800,253.81628,429.2687,164.03429,215.94882,481.27228,445.41962,381.46643,275.0303,412.0332
824400,0,406.7263,156.4513,244.31506,248.44221,374.89273,371.35104,326.28296,245.49313
828000,0,382.72476,150.5692,248.9384,142.39275,314.68756,348.0747,360.49368,162.29703
831600,26.607527,365.12485,151.93274,257.17984,163.97636,286.7972,331.47455,383.0157,137.07137
835200,195.97478,364.89618,161.18927,277.4484,262.6672,294.09314,338.09808,400.6506,152.68141
838800,394.38953,375.5807,176.99973,306.3468,364.56003,321.59506,361.45148,416.5468,192.00432
842400,546.54913,384.94437,189.75293,327.70148,431.38937,354.23148,381.3388,428.2402,232.83502
846000,552.1071,390.46344,198.38902,789.84186,128.47687,213.5598,392.86142,954.34735,62.90657
849600,833.8252,449.68204,205.52841,93.64828,939.48395,415.77466,332.73187,0,709.1939
853200,858.51855,502.526,213.11172,213.55403,993.56537,518.10455,450.0559,227.33322,738.52356
856800,854.36786,491.71637,224.17046,319.57904,848.35693,573.63776,490.61612,387.5935,641.57086
860400,846.2292,470.3171,232.4634,369.3119,732.023,594.5204,491.649,469.01233,554.7427
864000,840.00934,453.19296,237.58492,384.78613,656.3177,595.3063,478.80313,498.28,494.2835
867600,838.73895,442.96222,241.27048,387.85406,613.533,587.2367,465.57303,501.40756,459.52872
871200,840.5935,437.7163,243.72911,387.47937,592.2858,576.4131,455.71027,494.72745,443.0621
874800,842.6573,435.0701,244.74136,385.98965,583.07837,565.54913,448.83893,486.22867,437.0606
878400,841.8356,432.96964,243.57137,382.47018,579.33777,555.06525,442.9216,478.38977,435.16733
882000,838.62946,431.02475,241.14551,378.22916,578.1184,545.5771,437.75336,472.27643,434.54904
885600,833.9016,428.84418,237.73138,373.20233,577.5477,537.1022,432.6572,467.47653,433.6169
889200,820.50085,424.58994,230.48524,362.57996,573.5513,526.78595,424.51797,461.6196,429.0499
892800,803.51996,419.5839,222.35213,352.6789,565.2529,515.8528,415.5071,457.86975,420.09213
896400,690.4381,413.53754,216.02219,785.8741,132.39845,315.21585,404.7646,964.2769,68.645905
900000,886.53076,424.80365,210.81012,78.0941,902.1063,481.27423,296.72885,0,682.3737
903600,846.0098,480.90427,205.76025,182.7993,953.0222,543.87537,402.794,222.41986,709.42737
907200,789.99756,468.9736,202.17142,270.07947,807.6967,559.5905,430.79077,373.92993,607.6735
910800,748.9923,446.5362,200.55458,308.50247,690.2496,553.68634,426.0966,450.04456,516.3227
914400,723.8869,427.97137,198.36833,317.81497,612.24,538.69257,411.9682,476.14554,452.032
918000,711.5666,415.2884,194.42099,314.26328,565.5924,521.64014,398.79352,476.44873,413.3465
921600,710.95667,408.3672,190.8049,309.76562,542.3159,508.0835,392.0824,468.5303,395.39633
