0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.315,55,10,3
0,0,0,0
0,0,0,0
0,0,0,0
0.105,40,40,0.13
0,0,0,0
0,0,0,0
0.105,25,25,0.2
0,0,0,0
0.105,25,25,0.2
0.105,25,25,0.2
0,0,0,0
0.105,25,25,0.2
0,0,0,0
0,0,0,0
0.105,40,40,0.13
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.105,40,10,0.2
0,0,0,0
0.105,25,25,0.2
0,0,0,0
0.105,25,25,0.2
0,0,0,0
0,0,0,0
0.105,25,25,0.2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.105,25,25,0.2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.105,25,25,0.2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.105,25,25,0.2
1.4,40,40,2.67
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.105,10,25,0.2
0,0,0,0
0.105,25,25,0.2
0.735,55,10,0.93
0.105,25,25,0.2
0,0,0,0
0.105,25,25,0.2
3.605,40,10,6.87
0.105,25,25,0.2
3.605,40,10,6.87
0,0,0,0
0,0,0,0
0.105,25,25,0.2
