266.04,1396.09,0.0,74.3,266.91,0.35,0
265.94,1391.86,0.0,65.34,266.91,0.35,0
265.84,1387.63,0.0,56.38,266.91,0.35,0
265.73,1383.41,0.0,47.42,266.91,0.35,0
265.63,1379.18,0.0,38.46,266.91,0.35,0
265.51,1377.49,0.0,33.22,266.91,0.35,0
265.38,1375.81,0.0,27.97,266.91,0.35,0
265.26,1374.12,0.0,22.73,266.91,0.35,0
265.13,1372.43,0.0,17.48,266.91,0.35,0
265.08,1371.72,0.0,17.44,266.91,0.35,0
265.03,1371.0,0.0,17.39,266.91,0.35,0
264.98,1370.29,0.0,17.35,266.91,0.35,0
264.93,1369.57,0.0,17.31,266.91,0.35,0
264.91,1369.91,0.0,17.32,266.91,0.35,0
264.88,1370.26,0.0,17.34,266.91,0.35,0
264.86,1370.6,0.0,17.35,266.91,0.35,0
264.83,1370.95,0.0,17.37,266.91,0.35,0
264.71,1372.16,0.0,18.43,266.91,0.35,0
264.58,1373.37,0.0,19.48,266.91,0.35,0
264.46,1374.58,0.0,20.54,266.91,0.35,0
264.33,1375.79,0.0,21.59,266.91,0.35,0
264.31,1376.66,0.0,45.83,266.91,0.35,0
264.28,1377.54,0.0,70.06,266.91,0.35,0
264.26,1378.42,0.0,94.29,266.91,0.35,0
264.23,1379.3,0.0,118.52,266.91,0.35,0
264.21,1379.98,0.0,173.05,266.91,0.35,0
264.18,1380.66,0.0,227.59,266.91,0.35,0
264.16,1381.33,0.0,282.13,266.91,0.35,735
264.13,1382.01,0.0,336.66,266.91,0.35,105
264.11,1407.77,0.0,363.24,266.91,0.35,105
264.08,1433.52,0.0,389.83,266.91,0.35,0
264.06,1459.28,0.0,416.41,266.91,0.35,0
264.03,1485.04,0.0,442.99,266.91,0.35,0
264.28,1515.11,6.57,425.17,266.91,0.35,0
264.53,1545.18,13.15,407.35,266.91,0.35,0
264.78,1575.25,19.72,389.53,266.91,0.35,0
265.03,1605.33,26.3,371.72,266.91,0.35,0
265.48,1597.48,44.21,349.18,266.91,0.35,105
265.94,1589.63,62.13,326.64,266.91,0.35,3605
266.39,1581.78,80.04,304.1,266.91,0.35,105
266.84,1573.92,97.95,281.56,266.91,0.35,0
267.16,1504.03,136.77,343.23,266.91,0.35,0
267.49,1434.14,175.58,404.89,266.91,0.35,0
267.81,1364.25,214.4,466.55,266.91,0.35,105
268.14,1294.35,253.21,528.22,266.91,0.35,0
268.62,1232.66,274.55,675.77,266.91,0.35,0
269.09,1170.97,295.9,823.32,266.91,0.35,0
269.57,1109.28,317.24,970.87,266.91,0.35,0
270.04,1047.59,338.59,1118.43,266.91,0.35,105
270.12,1008.85,336.66,921.19,266.91,0.35,0
270.19,970.1,334.74,723.95,266.91,0.35,0
270.27,931.36,332.81,526.71,266.91,0.35,105
270.34,892.61,330.89,329.48,266.91,0.35,0
270.47,880.52,310.54,412.97,266.91,0.35,0
270.59,868.44,290.2,496.47,266.91,0.35,0
270.72,856.35,269.86,579.97,266.91,0.35,0
270.85,844.26,249.52,663.46,266.91,0.35,0
270.72,860.42,187.14,539.86,266.91,0.35,0
270.59,876.59,124.76,416.27,266.91,0.35,0
270.47,892.75,62.38,292.67,266.91,0.35,0
270.34,908.91,0.0,169.07,266.91,0.35,0
270.12,930.14,0.0,150.93,266.91,0.35,0
269.89,951.37,0.0,132.78,266.91,0.35,0
269.67,972.6,0.0,114.63,266.91,0.35,0
269.44,993.84,0.0,96.48,266.91,0.35,0
269.24,1011.86,0.0,91.28,266.91,0.35,0
269.04,1029.89,0.0,86.07,266.91,0.35,0
268.84,1047.91,0.0,80.87,266.91,0.35,0
268.64,1065.93,0.0,75.66,266.91,0.35,0
268.49,1100.54,0.0,92.32,266.91,0.35,315
268.34,1135.14,0.0,108.97,266.91,0.35,105
268.19,1169.74,0.0,125.63,266.91,0.35,105
268.04,1204.35,0.0,142.28,266.91,0.35,0
267.94,1242.19,0.0,154.31,266.91,0.35,0
267.84,1280.03,0.0,166.33,266.91,0.35,105
267.74,1317.87,0.0,178.36,266.91,0.35,0
267.64,1355.72,0.0,190.38,266.91,0.35,1400
267.56,1390.64,0.0,173.21,266.91,0.35,105
267.49,1425.56,0.0,156.04,266.91,0.35,0
267.41,1460.47,0.0,138.86,266.91,0.35,105
267.34,1495.39,0.0,121.69,266.91,0.35,105
267.24,1490.76,0.0,157.81,266.91,0.35,105
267.14,1486.13,0.0,193.93,266.91,0.35,0
267.04,1481.5,0.0,230.04,266.91,0.35,105
266.94,1476.87,0.0,266.16,266.91,0.35,0
266.84,1465.76,0.0,217.48,266.91,0.35,0
266.74,1454.64,0.0,168.8,266.91,0.35,105
266.64,1443.53,0.0,120.12,266.91,0.35,0
266.54,1432.41,0.0,71.44,266.91,0.35,105
266.46,1421.81,0.0,69.34,266.91,0.35,3605
266.39,1411.2,0.0,67.23,266.91,0.35,0
266.31,1400.6,0.0,65.13,266.91,0.35,0
266.24,1390.0,0.0,63.02,266.91,0.35,105
266.24,1390.0,0.0,63.02,266.91,0.35,0
266.24,1390.0,0.0,63.02,266.91,0.35,0
266.24,1390.0,0.0,63.02,266.91,0.35,105
266.04,1396.09,0.0,74.3,266.91,0.35,0
265.94,1391.86,0.0,65.34,266.91,0.35,0
265.84,1387.63,0.0,56.38,266.91,0.35,0
265.73,1383.41,0.0,47.42,266.91,0.35,0
265.63,1379.18,0.0,38.46,266.91,0.35,0
265.51,1377.49,0.0,33.22,266.91,0.35,0
265.38,1375.81,0.0,27.97,266.91,0.35,0
265.26,1374.12,0.0,22.73,266.91,0.35,0
